carat,cut,color,clarity,depth,table,price,x,y,z
2,Very Good,G,SI1,61.8,61,18524,8,8.09,4.97
1.83,Premium,G,VS2,60.5,59,18525,7.99,7.89,4.8
2.14,Very Good,D,SI2,60.3,60,18526,8.31,8.43,5.05
2.14,Ideal,H,SI1,61.5,57,18528,8.36,8.29,5.12
2.22,Ideal,I,VS2,61.3,56,18531,8.45,8.36,5.15
4.5,Fair,J,I1,65.8,58,18531,10.23,10.16,6.72
2.32,Ideal,G,SI2,61,58,18532,8.5,8.54,5.2
2.03,Ideal,F,SI2,61.4,58,18535,8.12,8.16,5
2.4,Good,I,SI1,56.9,62,18541,8.87,8.81,5.03
2.4,Ideal,H,SI2,62,55,18541,8.6,8.57,5.32
1.04,Very Good,D,IF,61.3,56,18542,6.53,6.55,4.01
1.5,Very Good,F,IF,63.2,58,18552,7.2,7.32,4.59
1.72,Very Good,E,VS2,63.4,56,18557,7.65,7.55,4.82
3.04,Premium,I,SI2,59.3,60,18559,9.51,9.46,5.62
2.38,Premium,J,VS2,62.1,58,18559,8.54,8.49,5.29
2.09,Premium,H,SI1,61.1,56,18559,8.3,8.23,5.05
2.01,Good,H,VS2,57.8,60,18561,8.29,8.35,4.81
2.01,Very Good,H,VS2,60.7,56,18561,8.08,8.17,4.93
2.02,Fair,H,VS2,64.5,57,18565,8,7.95,5.14
1.6,Ideal,F,VS1,60.5,57,18571,7.6,7.63,4.61
2.01,Good,G,SI1,63.1,59,18572,7.98,8.03,5.05
2.01,Fair,G,SI1,70.6,64,18574,7.43,6.64,4.69
2.11,Premium,D,SI2,60.9,60,18575,8.28,8.21,5.02
2.03,Ideal,F,SI2,61.6,55,18578,8.19,8.14,5.03
